nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Super Mario Galaxy,Super Mario,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.nintendo.co.jp/wii/rmgj/,Everyone,PEGI 3,16694745r,
Super Mario Galaxy,Super Mario,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.nintendo.co.jp/wii/rmgj/,Everyone,PEGI 3,16694745r,
Super Mario Galaxy,Super Mario,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.nintendo.co.jp/wii/rmgj/,Everyone,PEGI 3,16694745r,
Super Mario Galaxy,Super Mario,Wii,2015,Nintendo Entertainment Analysis and Development,http://www.nintendo.co.jp/wii/rmgj/,Everyone,PEGI 3,16694745r,
Harry Potter et l'Ordre du phénix,Q4040432,Wii,2007,Electronic Arts,http://www.ea.com/harry-potter,Everyone 10+,PEGI 7,,
Les Sims 3,Les Sims,Wii,2009,The Sims Studio,http://thesims3.com,Teen,PEGI 12,,
Les Sims 3,Les Sims,Wii,2009,Edge of Reality,http://thesims3.com,Teen,PEGI 12,,
Toy Story 3,,Wii,2010,Avalanche Software,http://games.disney.com/toy-story-3-video-game,Everyone,PEGI 3,,
Toy Story 3,,Wii,2014,Avalanche Software,http://games.disney.com/toy-story-3-video-game,Everyone,PEGI 3,,
Lego Batman 2: DC Super Heroes,,Wii,2013,Traveller's Tales,,Everyone 10+,PEGI 7,,
Close Combat: First to Fight,Close Combat,Wii,2005,Destineer,,,,,
One Piece: Unlimited Adventure,liste de jeux vidéo One Piece,Wii,2007,Ganbarion,,,,,
The House of the Dead: Overkill,The House of the Dead,Wii,2009,Kuju Ltd.,http://www.sega.com/hodoverkill/,Mature 17+,PEGI 18,,
Shiren the Wanderer,,Wii,2008,Chunsoft,,,,,
Resident Evil 4,Resident Evil,Wii,2005,Capcom,http://www.capcom.co.jp/bio4/english.html,Mature 17+,PEGI 18,,
Resident Evil 4,Resident Evil,Wii,2014,Capcom,http://www.capcom.co.jp/bio4/english.html,Mature 17+,PEGI 18,,
FIFA 12,FIFA Football,Wii,2011,EA Canada,http://fifa.easports.com,Everyone,PEGI 3,,
FIFA 13,FIFA Football,Wii,2012,EA Canada,http://fifa.easports.com,Everyone,PEGI 3,,
Call of Duty: World at War,Call of Duty,Wii,2008,Treyarch,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Treyarch,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
