nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Aspyr,http://www.callofduty.com/,Teen,PEGI 16,,
Assassin's Creed 2,Assassin's Creed,Xbox 360,2009,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2009,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2009,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2010,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2010,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2010,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2010,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Assassin's Creed 2,Assassin's Creed,Xbox 360,2011,Ubisoft Montréal,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,5bf7477e-8d21-4e52-a7c7-7ad93add0a5f
Need for Speed: Carbon,Need for Speed,Xbox 360,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 7,,
Need for Speed: Carbon,Need for Speed,Xbox 360,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 12,,
The Elder Scrolls IV: Oblivion,The Elder Scrolls,Xbox 360,2006,4J Studios,https://elderscrolls.bethesda.net/oblivion/,Mature 17+,PEGI 16,16901151z,360502b7-fc1b-3fe9-ada4-2c580196c3ed
The Elder Scrolls IV: Oblivion,The Elder Scrolls,Xbox 360,2006,4J Studios,https://elderscrolls.bethesda.net/oblivion/,Mature 17+,PEGI 16,16901151z,360502b7-fc1b-3fe9-ada4-2c580196c3ed
