id,titre,description,date
17006799,Shining force. Resurrection of the dark dragon : jeu vidéo,"Jeu de stratégie ; jeu de rôle. - ""Shining force. Resurrection of the dark dragon"" est le remake de ""Shining force. The legacy of great intention"" sorti en 1992",2004-04
16705871,Flicky : jeu vidéo,Jeu d'arcade,1984-09
16705909,Jūōki : jeu vidéo,Édité par Sega,1988
16994036,"Psyvariar, medium unit : jeu vidéo",Édité par Taito sur bornes d'arcade et Success corporation sur PlayStation 2,2000-03
16705158,Qix : jeu vidéo,"Édité par Taito America corporation sur borne d'arcade, par Atari puis divers éditeurs sur support",1981-10
16589332,Pac-man championship edition : jeu vidéo,"Première sortie au Japon, en Amérique du Nord et en Europe",2007-06
17059035,Eastside hockey manager : jeu vidéo,Édité par SEGA,2004
17066956,NBA jam : jeu vidéo,Série de jeux vidéo,1993
16584872,NBA 2K : jeu vidéo,Série de jeux vidéo,1999
17135465,Grandia : jeu vidéo,Série de jeux vidéo,1997
17005021,Oddworld : jeu vidéo,Série de jeux vidéo,1997
16590024,Galaga 3D impact : jeu vidéo,Jeu d'action,2011-06
16900624,Galaxian : jeu vidéo,Série de jeux vidéo,1979
16703311,Hoshi no Kābī : jeu vidéo,Édité par Nintendo co,1992
16922397,Donkey Kong country : jeu vidéo,Édité par Nintendo,1994
16991579,Silent scope EX : jeu vidéo,Édité par Konami,2001-05
16690337,Just cause : jeu vidéo,Édité par Eidos interactive,2006
16700086,Ōgon no tayō : jeu vidéo,Série de jeux vidéo,2001
16579358,Ben 10 : jeu vidéo,"Série de jeux vidéo. - Inspiré de la série télévisée d'animation : ""Ben 10""",2007
16991579,Silent scope EX : jeu vidéo,"Sortie en Europe sur support, janvier 2003",2001-05
16710798,Rise of the guardians : jeu vidéo,Édité par D3 publisher,2012-11
16694440,"Fable, the journey : jeu vidéo",Sortie au Japon puis en Europe le même mois,2012-10
16695738,PlayStation all-stars battle royale : jeu vidéo,Jeu d'action,2012-11
17149430,Dragon lord : jeu vidéo,"Jeu de stratégie ; jeu de rôle. - Intitulé ""Dragons breath"" en Europe",1990
16903620,Courier service simulator : jeu vidéo,Édité par Just for games,2011-07
16945313,Killzone. Mercenary : jeu vidéo,Édité par Sony computer entertainment,2013-09
16946105,Barbie. Jet set & style ! : jeu vidéo,"Édité par THQ, réédité par Little orbit",2011-09
16770803,Dishonored : jeu vidéo,"A pour extensions : ""Dunwall city trials"", ""Brigmore witches"", ""The knife of Dunwall"" et ""Void Walker's arsenal""",2012-10
16770860,Rage : jeu vidéo,Jeu d'action,2011-10
16774070,Rising storm : jeu vidéo,Édité par Tripwire interactive sur Steam et par Lace mamba global en Europe,2013-05
16775924,"Helicopter simulator, search and rescue : jeu vidéo","Jeu de pilotage. - Intitulé ""Helicopter simulator 2014, search and rescue"" en Amérique du Nord",2013-09
16712116,Kingdom hearts 3D. Dream drop distance : jeu vidéo,Édité par Square Enix,2012-03
