nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Rayman Legends,Rayman,PlayStation 3,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2013,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,PlayStation 3,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2014,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
