nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Sonic the Hedgehog 2,Sonic,Microsoft Windows,1992,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Doom,Doom,PlayStation 3,1993,jeu de tir en vue subjective,Atari,id Software,,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Battle Arena Toshinden,,PlayStation,1995,jeu vidéo de combat,Sony Interactive Entertainment,Q7681873,,,,,,
Battle Arena Toshinden,,PlayStation,1995,jeu vidéo de combat,Sony,Q7681873,,,,,,
Fallout,Fallout,Microsoft Windows,1997,jeu vidéo de rôle,Interplay Entertainment,Black Isle Studios,,,Mature 17+,PEGI 16,,
Sonic the Hedgehog 2,Sonic,Android,1992,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Microsoft,Hidden Path Entertainment,,http://www.microsoft.com/games/age2/,Teen,,,
Sonic the Hedgehog,Sonic,Master System,1991,jeu de plates-formes,Sega,Ancient (entreprise),,,Everyone,PEGI 3,,
Sonic the Hedgehog 2,Sonic,téléphone mobile,1992,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Konami,Hidden Path Entertainment,,http://www.microsoft.com/games/age2/,Teen,,,
Sonic the Hedgehog 2,Sonic,Windows Phone,1992,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Fallout,Fallout,DOS,1997,monde ouvert,Interplay Entertainment,Black Isle Studios,,,Mature 17+,PEGI 16,,
Sonic the Hedgehog,Sonic,Mega Drive,1991,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 3,,
